,search-city,search-key,company,phno,actual-address,actual-tags
0,Mumbai,textile-manufacturer,"Mihir Tex in Bhiwandi, Mumbai",+(91)-9152288628,"309, Vardhman Arcade,, Bhiwandi Wada Road, Bhiwandi, Thane - 421302, Above Bank Of Baroda","Cloth Wholesalers, Textile Manufacturers, .."
1,Mumbai,textile-manufacturer,"S K Trading Co in Malad West, Mumbai",+(91)-7977306951,"31, Malad Shopping Centre, 1st Floor, Malad West, Mumbai - 400064, Near Shiv Temple, Near Station","T Shirt Printers, Fabric Retailers, .."
2,Mumbai,textile-manufacturer,"Sri Kalyan Export Pvt Ltd in Villarasampatti, Erode",+(91)-8220999953,"192/4 Iswarya Garden, Villarasampatti, Erode - 638107, Nasiyanur Road","Fabric Manufacturers, Cotton Fabric Manufacturers, .."
3,Mumbai,textile-manufacturer,"Pixel Clothings in Opp Deepa Hospital, Tirupur",+(91)-9566650876,"24 Stanes Road, 2nd Street, Tirupur - 641602, Opp Deepa Hospital","Garment Manufacturers, Fabric Manufacturers, .."
4,Mumbai,textile-manufacturer,"Walrus SEER Textile MILLS in Pn Road, Tirupur",+(91)-9843077722,"7 ,Walrus Complex, Mariyamman Kovil & Kottai Thottam, Pn Road, Tirupur - 641602, Back Side New Bus Stand  and Near Sivan Theatre","Textile Manufacturers, Fabric Manufacturers, .."
5,Mumbai,textile-manufacturer,"P M Textiles in Pali City, Pali-Rajasthan",+(91)-9152858636,"17 to 22, Maruti Nagar,Keshav Nagar, Pali City, Pali Marwar - 306401, Oppsoite Maa Chamunda Cold Storage","Dupatta Wholesalers, Q Tex Handkerchief Manufacturers, .."
6,Mumbai,textile-manufacturer,"Mansi Textiles in Dadar East, Mumbai",+(91)-9152172140,"101, Kumar Fun N Shop, 1st Floor, Dr B A Road, Dadar East, Mumbai - 400014, Hindmata Gold Cinema Building","Fabric Wholesalers, Textile Manufacturers, .."
7,Mumbai,textile-manufacturer,"Shri Balaji International in Lawrence Road, Delhi",+(91)-9152221909,"189-191 Main Road, Lawrence Road, Delhi - 110035, Near Britannia Chowk","Fabric Wholesalers, Fabric Manufacturers, .."
8,Mumbai,textile-manufacturer,"Textile World in Kalbadevi, Mumbai",+(91)-022-40227900,"85/ 87, 1st Floor, Zaveri Bhuvan, Old Hanuman Lane, Kalbadevi, Mumbai - 400002, Near Hotel Adarsh","Fabric Wholesalers, Textile Manufacturers, .."
9,Mumbai,textile-manufacturer,"Agarwal Bedding Solutions Pvt Ltd in C G Road, Ahmedabad",+(91)-7046221100,"No 201,202,203,2nd Floor,  Rembrandt Building, Sv Desai Marg, C G Road, Ahmedabad - 380009, Opposite CG Sqaure Mall","Curtain Dealers, Mattress Manufacturers, .."
10,Mumbai,textile-manufacturer,"Mandhania Weaving Mill in Gandhi Nagar, Solapur",+(91)-9423592156,"Tulasanilayam 155/4, Akkalkot Road, Gandhi Nagar, Solapur - 413005, Opposite Of Ganga Tower","Towel Manufacturers, Textile Manufacturers, .."
11,Mumbai,textile-manufacturer,"Vandana Handicraft in Sitapura Industrial Area, Jaipur",+(91)-9152579647,"J-1099, Sitapura Industrial Area, Jaipur - 302022, Opposite Cepate College","Women Kurti Manufacturers, Bed Sheet Wholesalers, .."
12,Mumbai,textile-manufacturer,"Sapphire Synthetics in Bhilwara City, Bhilwara",+(91)-9152278184,"207- 2nd Floor, Arihant Tower, Bhilwara Textile Market, Bhilwara City, Bhilwara - 311001, Nr Pur Road","Textile Manufacturers, Suitings & Shirtings Manufacturers, .."
13,Mumbai,textile-manufacturer,"Dhana Lakshmi Textile Industries in Syamala Nagar, Rajahmundry",+(91)-883-2468906,"78-15/14, Dhana Lakshmi Street, Syamala Nagar, Rajahmundry - 533103, Behind Rtc Complex Lane","Saree Wholesalers, Cloth Merchants, .."
