,company,new_phno
0,"Mihir Tex in Bhiwandi, Mumbai",9152288628
1,"S K Trading Co in Malad West, Mumbai",7977306951
2,"Sri Kalyan Export Pvt Ltd in Villarasampatti, Erode",8220999953
3,"Pixel Clothings in Opp Deepa Hospital, Tirupur",9566650876
4,"Walrus SEER Textile MILLS in Pn Road, Tirupur",9843077722
5,"P M Textiles in Pali City, Pali-Rajasthan",9152858636
6,"Mansi Textiles in Dadar East, Mumbai",9152172140
7,"Shri Balaji International in Lawrence Road, Delhi",9152221909
8,"Agarwal Bedding Solutions Pvt Ltd in C G Road, Ahmedabad",7046221100
9,"Mandhania Weaving Mill in Gandhi Nagar, Solapur",9423592156
10,"Vandana Handicraft in Sitapura Industrial Area, Jaipur",9152579647
11,"Sapphire Synthetics in Bhilwara City, Bhilwara",9152278184
52,test3,9964870776
13,"Maga Synthetics in Bhilwara City, Bhilwara",9152865397
14,"Aryavart Textiles in Basni, Jodhpur",9152890223
15,"Janta Textile Works in Industrial Area A, Ludhiana",9152134396
16,"B.P.GULL TRADERS in Gokak, Belgaum",9152708046
17,"Shri Ram International Company in Chandni Chowk, Delhi",9810157843
18,"Aurangabad Silk Mills in Aurangabad Railway Station, Aurangabad-Maharashtra",9152454330
19,"Shiv Shakti Synthetics & Ankit Suitings in Bhilwara HO, Bhilwara",9152472612
20,"Ahuja Textile Mill in Kashmir Nagar, Ludhiana",9803804884
21,"H P Singh Agencies Pvt Ltd in Nehru Place, Delhi",9152470822
22,"Evergreen Uniforms in Industrial Area A, Ludhiana",9501232332
23,"Ajay Kumar Pratik Kumar in Gandhi Nagar, Delhi",9312402305
24,"Navkar Rayons Pvt. Ltd. in Bhilwara City, Bhilwara",9152806679
25,"Moola Shah Mulakh Raj in Fatehpuri, Delhi",9152929144
26,"Pothys in T Nagar, Chennai",9152751931
27,"Pothys Hyper in T Nagar, Chennai",8939593990
28,"Mayur Decor Mayur Home in Panipat City, Panipat",9996922229
29,"Fabric Trades in Subhash Nagar, Delhi",9152478495
30,"Khem Chand Jain in Chandni Chowk, Delhi",9152290480
31,"Solitaire Home Furnishing in Panipat City, Panipat",9152673551
32,"Mj Market in Kalbadevi, Mumbai",9699509348
51,test2,9741480348
34,"Mandhana Industries Ltd (Factory) in Boisar, Mumbai",9321358835
35,"Yorbiz Production Pvt Ltd in Govandi West, Mumbai",7217854030
36,"Gujarat Heavy Chemicals Ltd (Regional Office) in Borivali East, Mumbai",9930992826
37,"Shree Radhe Textiles in Dadar East, Mumbai",9892026882
38,"Ganesh Textile Company in Bhiwandi, Mumbai",9226290311
39,"Tirupati Balaji Cloth Stores in Chembur East, Mumbai",9920390025
40,"Birla Century in Bhayandar East, Mumbai",9833439284
41,"Deepak Textiles in Malad East, Mumbai",9702501972
42,"BMS Industries Ltd in Andheri East, Mumbai",9224336217
43,"Gulabdas & Co. in Parel, Mumbai",9819435007
44,"Greenfield Hi-Tech Textile Pvt Ltd in Cbd Belapur, Mumbai",9637202049
45,"Nilesh Sales Agency in Bhiwandi, Mumbai",9049656000
46,"Kirti Textiles in Marine Lines, Mumbai",9819658179
47,"anup textile in Khar East, Mumbai",9867978453
48,"Fashion Hub in Masjid Bunder, Mumbai",9819119298
49,"Oriental Synthetics Rayon Mills Pvt Ltd in Turbhe Midc, Mumbai",9223259539
50,test1,7338336407
33,"Shree Arvind Silk Mills in Andheri East, Mumbai",9833121392
