,search-city,search-key,company,phno,actual-address,actual-tags
0,Mumbai,readymade-garments,"Katieons Boutique in Ulhasnagar No 4, Mumbai",+(91)-9152894826,"Shop No.10 Monish Apt., Near Puneja Classes, Ulhasnagar No 4, Thane - 421004","Readymade Garment Retailers, Men Readymade Garment Retailers, .."
1,Mumbai,readymade-garments,"Canvastra in Goregaon East, Mumbai",+(91)-9152235368,"Grnd Flr, Laxmi Narayan Opp Anupam Anopolis ( Dominos ), Goregaon East, Mumbai - 400063, Opposite Dheeraj Pooja Near Infant Jesus School Lane","Readymade Garment Retailers, Fashion Designer For Women, .."
2,Mumbai,readymade-garments,"Rnc Studio in Mira Road, Mumbai",+(91)-9152192178,"Shop No 30/31/ 32, Sheetal SAI Building, MTNL Road, Mira Road, Thane - 401107, Near MTNL Office","Readymade Garment Retailers, Men Readymade Garment Retailers, .."
3,Mumbai,readymade-garments,"King World in Mulund West, Mumbai",+(91)-9152608941,"6/7 Mulund Shivganga Co.Op.Hsg, Sl Road & Zaver Road Junction, Mulund West, Mumbai - 400080, Near Jain Mandir","Readymade Garment Retailers, Jeans Retailers, .."
4,Mumbai,readymade-garments,"The Raymond Shop in Kharghar Sector 7, Mumbai",+(91)-9152166516,"Unit No 44/45,Ground Floor & First Floor,Patel Heritage, Kharghar Sector 7, Navi Mumbai - 410210, Near Hiranandani","Readymade Garment Retailers, Tailors For Women, .."
5,Mumbai,readymade-garments,"Teeny Tony Kids Wear and New Born Collections in Goregaon West, Mumbai",+(91)-9820727527,"Shop No 56, Ground Floor, Citi Centre, S V Road, Goregaon West, Mumbai - 400062, Near Ratna Hotel","Readymade Garment Retailers, Children Readymade Garment Retailers, .."
6,Mumbai,readymade-garments,"Comfort For Kids And Moms in Crawford Market, Mumbai",+(91)-9152881523,"Shop No 421, Sheikh Memon Street, Crawford Market, Mumbai - 400001, Opposite A to Z  Store","Readymade Garment Retailers, Toy Shops, .."
7,Mumbai,readymade-garments,"Rayyan Creations in Seawoods Sector 48, Mumbai",+(91)-9152156880,"Shop No- 5, Lakhani Palm View , Plot No- 12, Sector 48,, Seawoods Sector 48, navi mumbai - 400706, Opposite New Gothic,  Opposite H P Petrol Pump","Readymade Garment Retailers, Boutiques, .."
8,Mumbai,readymade-garments,"Silken  Clothing Store in Bandra West, Mumbai",+(91)-22-26434383,"Shop No -3,10 D, Hill Road, Bandra West, Mumbai - 400050, Near Sv Road Signal Junction","Readymade Garment Retailers, Men Readymade Garment Retailers, .."
9,Mumbai,readymade-garments,"Saksha Apparels LLP in Grant Road, Mumbai",+(91)-9152330850,"Shop No. 347-A, C Block, United Chambers,, Maulana Shaukatali Ali Road,, Grant Road, Mumbai - 400007, Near Shalimar Cinema","Readymade Garment Retailers, Girls Readymade Garment Manufacturers, .."
10,Mumbai,readymade-garments,"Garvi Gurjari in Juhu, Mumbai",+(91)-9152328974,"B-16, Sanidhya, V.L Mehta Road, JVPD Scheme, Juhu, Mumbai - 400049, Vileparle West","Readymade Garment Retailers, Dress Material Retailers, .."
